Frame,C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24
82,9.09066,9.251194,-0.07289274,-3.808573,9.857287,2.2065,-1.725523,1.667653,4.530686,23.26467,0.02404697,3.915678,0.3170533,-1.285815,0.7979798,-1.578124,3.773082,1.81618,0.8063821,-3.732013,1.315016,-2.424652,25.67939,-1.612013,0.4788233
83,7.650287,10.07739,-0.9838504,-1.732683,11.10867,3.031842,-2.170279,0.5779148,4.093762,23.38148,0.5474642,2.145337,-0.4362337,-0.6861802,-1.101449,-2.163644,3.295238,2.547793,0.8806887,-2.561686,1.74244,-0.56816,23.71076,-2.758691,1.113442
84,8.644789,9.674732,-0.8571557,-2.828365,8.184376,1.450193,-0.4459959,0.1639746,3.703093,24.33326,-2.255754,6.978449,-1.896333,0.4450963,-0.5529006,-2.016112,1.968018,2.550037,2.112062,-0.9347477,1.59317,-0.1165001,23.01331,-0.8209788,2.376831
85,7.04331,7.853274,1.302215,-3.079543,7.293303,2.010185,0.4651233,-0.3112909,2.386579,22.06618,0.5943851,8.394663,-1.602915,1.413196,0.4557879,-2.797786,2.491742,3.766876,2.523223,-0.1362984,0.1741283,1.154364,19.91806,-3.659398,1.523541
86,6.161336,8.239511,14.5936,-3.76299,5.619315,0.1600824,-1.300896,-0.3838173,2.24203,21.24091,-2.088684,5.805864,-2.35243,0.1327934,-0.299528,-2.410812,2.204777,3.745362,2.461129,-3.173804,0.3287779,1.342039,22.65335,-3.648157,3.254772
87,7.7536,8.25252,10.96286,-1.751135,6.92826,0.9152664,0.7781184,0.6183109,4.035559,21.29197,-2.485413,6.882917,-2.996483,-0.00386169,-0.5611547,-2.607178,0.1310098,2.453206,1.423052,-3.765665,0.8428996,0.1818956,20.01605,-1.438481,1.130396
88,9.040624,6.408903,5.478891,-2.675259,7.62576,-2.000802,-1.583348,1.962787,3.944356,21.47968,-1.996284,6.292246,-2.093147,-1.497876,0.3621961,-2.356302,2.86199,1.857461,2.735746,-1.464889,-1.430107,-1.903624,16.27999,-2.617397,1.522947
89,5.142323,7.146002,2.945107,-4.610513,9.087441,-0.4192522,-1.248705,0.6240553,3.650469,20.8499,0.5441417,5.035884,-1.226503,-0.8329697,1.211349,-1.362062,2.24768,0.4268951,1.901019,-2.782215,-0.05341748,-0.3662957,17.78868,-0.7775674,0.264433
90,6.641421,7.684387,1.659308,-1.992622,6.19709,1.789447,0.9337803,0.8964871,3.861677,18.89619,2.470758,4.013188,0.1887788,-0.09264752,-0.1937916,-3.000167,-0.1307724,3.347771,2.475513,-2.913642,-0.343493,0.3596363,17.66047,0.9772791,1.442135
91,9.04923,6.238985,1.694693,-0.306609,5.364432,2.08713,-0.3235762,0.6898544,4.201979,18.94516,8.035183,3.765236,-0.9654581,0.8294683,-0.4100052,-1.932002,1.548467,4.792273,2.972458,-2.432439,1.711546,0.9002684,17.54209,-0.9356854,4.025194
92,7.280957,5.846456,0.6978984,-0.7919087,4.271296,1.58257,0.3029256,0.2669509,5.159449,20.16862,6.583019,2.503056,-0.2636874,-0.07458845,-0.731607,-2.261895,1.828164,4.208563,1.687857,-1.819479,0.6852882,-0.5148804,17.76258,-1.042808,2.795987
