"Evnt_Time","Evnt_ID","Evnt_Name","Item_Name","Alias_Name","Group_ID","Num_Args","Arg1_Name","Arg1_Value","Arg2_Name","Arg2_Value","Arg3_Name","Arg3_Value","Arg4_Name","Arg4_Value","Arg5_Name","Arg5_Value"
"1608.751","39","Input Transition Off Event","BIRBeam #1","","17","0",,,,,,,,,,
"1608.752","39","Input Transition Off Event","FIRBeam #1","","17","0",,,,,,,,,,
"1608.752","39","Input Transition Off Event","RightFIRBeam #1","","17","0",,,,,,,,,,
"1608.756","38","Input Transition On Event","BIRBeam #1","","17","0",,,,,,,,,,
"1608.865","38","Input Transition On Event","FIRBeam #1","","17","0",,,,,,,,,,
"1608.865","38","Input Transition On Event","RightFIRBeam #1","","17","0",,,,,,,,,,
"1608.915","31","Touch Up Event","Bussey Mouse Operant Mode 2 x 1 x low","","17","2","Position","0","(NoImageOrVideo)","-1",,,,,,
"1612.244","38","Input Transition On Event","Tray #1","","17","0",,,,,,,,,,
"1612.245","1","Condition Event","Reward Retrieved Free Choice","","17","0",,,,,,,,,,
"1612.245","4","Output Off Event","TrayLight #1","","17","0",,,,,,,,,,
"1612.245","29","Timer Event","ITI_timer","","17","1","Value","0",,,,,,,,
"1612.245","21","Group Change Event","Group Change","","17","1","New Group","21",,,,,,,,
"1617.069","39","Input Transition Off Event","Tray #1","","21","0",,,,,,,,,,
"1620.245","1","Condition Event","ITI (regular)","","21","0",,,,,,,,,,
"1620.245","16","Variable Event","ITI_timer","","21","1","Value","8",,,,,,,,
"1620.245","16","Variable Event","ITI_timer","","21","1","Value","0",,,,,,,,
"1620.245","21","Group Change Event","Group Change","","21","1","New Group","2",,,,,,,,
"1620.245","1","Condition Event","If not End of Expt","","2","0",,,,,,,,,,
"1620.245","3","Output On Event","TrayLight #1","","2","0",,,,,,,,,,
"1620.245","7","Pulse Output Event","TTL #1","","2","1","Duration","1",,,,,,,,
"1620.245","1","Condition Event","If not End of Expt., turns on TrayLight","","2","0",,,,,,,,,,
"1620.245","3","Output On Event","TrayLight #1","","2","0",,,,,,,,,,
"1620.245","7","Pulse Output Event","TTL #1","","2","1","Duration","1",,,,,,,,
"1620.245","21","Group Change Event","Group Change","","2","1","New Group","3",,,,,,,,
"1620.245","1","Condition Event","Define Session3","","3","0",,,,,,,,,,
"1620.245","16","Variable Event","Session3","","3","1","Value","1",,,,,,,,
"1620.245","16","Variable Event","Session1","","3","1","Value","0",,,,,,,,
"1620.245","16","Variable Event","Session2","","3","1","Value","0",,,,,,,,
"1620.245","16","Variable Event","Session4","","3","1","Value","0",,,,,,,,
"1620.245","16","Variable Event","Session5","","3","1","Value","0",,,,,,,,
"1620.245","21","Group Change Event","Group Change","","3","1","New Group","4",,,,,,,,
"1620.245","1","Condition Event","Are we in Free_Choice Trials","","4","0",,,,,,,,,,
"1620.245","16","Variable Event","FreeChoice_trials","","4","1","Value","1",,,,,,,,
"1620.245","21","Group Change Event","Group Change","","4","1","New Group","10",,,,,,,,
"1621.514","38","Input Transition On Event","Tray #1","","10","0",,,,,,,,,,
"1621.515","1","Condition Event","Free-Choice Trials begin","","10","0",,,,,,,,,,
"1621.515","4","Output Off Event","TrayLight #1","","10","0",,,,,,,,,,
